Title,Author(s),Publisher(s),Year Published,Pages,Description,Genre
The Total Synthesis of Natural Products Vol-2 (Repeated),John ApSimon,John Wiley & Sons,2009-09-22,769,Continues the discussion on the total synthesis of natural products.,Chemistry
The Total Synthesis of Natural Products Vol-3 (Repeated),John ApSimon,John Wiley & Sons,2009-09-22,579,Further exploration of total synthesis techniques for natural products.,Chemistry
The Chemistry of Natural Products,Raphael Ikan,World Scientific,2008,625,Focuses on the chemical properties and reactions of natural products.,Chemistry
Biochemistry and Molecular Biology of Plants,"Bob B. Buchanan, Wilhelm Gruissem, Russell L. Jones",John Wiley & Sons,2015-08-31,1280,Explores the biochemical and molecular biological aspects of plant systems.,Biochemistry
Bio Chemistry (2),"Rashmi A. Joshi, Victor Marks",B. Jain Publishers,2023-11-21,444,General text on biochemistry principles and processes.,Biochemistry
Genetics and Plant Breeding (Repeated),L.D. Vijendra Das,New Age International,2006,11,Discusses genetic principles and their applications in plant breeding.,Genetics/Agriculture
Breeding Field Crops,John M. Poehlman,Springer Science & Business Media,2013-04-17,739,Covers methods and principles of breeding different field crops for improved yield and resistance.,Agricultural Science
Plant Breeding (Analysis and Exploitation of Variations),Darbeshwar Roy,,2008-05-07,701,Discusses techniques and strategies for analyzing and utilizing genetic variations in plant breeding.,Agricultural Science
Genomics,"Joel T. Dudley, Konrad J. Karczewski",Oxford University Press,2013-01-03,265,"Focuses on the study of genomes and their function, including sequencing and analysis techniques.",Biotechnology
Himalaya Natural Resources Eco Threat & Restoration Study,Tej Kumari,Indus,1998,,"Examines the natural resources of the Himalayas, their threats, and strategies for their restoration.",Environmental Science
Dosimetry of Internal Emitters in Nuclear Medicine and Radiation Protection,"Alla Ramalinga Reddy, Sheel Chand Jain",,2011,293,Discusses the measurement and calculation of radiation doses from internal emitters for safety and medical purposes.,Medical/Scientific
Herbs in Radiation Protection,H. C. Goel,,2011,320,Explores the use of medicinal herbs in protecting against radiation damage.,Medical/Scientific
Natural Radiation Environment,Jacob Kastner,,1968,60,Reviews the sources and impacts of natural radiation on the environment and human health.,Environmental Science
Economic of Protected Areas and Its Effect on Biodiversity,Ram Bir Singh Kushwah,APH Publishing,2001,738,Analyzes the economic aspects of managing protected areas and their impact on biodiversity.,Environmental Science
BD Biosciences,"Chris Marnay, Owen Bailey, Ryan Firestone, Michael Stadler, Charles Creighton",,2003,85,Covers various bioscience products and technologies related to biotechnology.,Biotechnology
Himedia Catalog Piece List,,,,,A catalog listing various bioscience products and their details.,Catalog
Biodiversity Strategies for Conservation,"Lakshman D. Guruswamy, Jeffrey A. McNeely",,1998,448,"Offers strategies for conserving biodiversity, including protection, management, and restoration practices.",Environmental Science
Genetically Modified Organisms in Agriculture Economies and Politics,Gerald C. Nelson,Elsevier,2001-03-22,344,Examines the economic and political implications of genetically modified organisms in agriculture.,Agricultural Science
Rural Energy Planning for the Indian Himalaya,T. M. Vinod Kumar,,1987,370,Focuses on planning and implementing energy solutions for rural areas in the Indian Himalayas.,Environmental Science
Advances and Challenges in Agricultural Extension & Rural Development,"T. Rathakrishnan, M. Israel Thomas, L. Nirmala",,2020,,Reviews recent advances and ongoing challenges in agricultural extension and rural development.,Agricultural Science
The Chemistry of Organophosphorus Pesticides,"Christa Fest, K.-J. Schmidt",Springer Science & Business Media,2012-12-06,346,"Details the chemical properties, synthesis, and applications of organophosphorus pesticides.",Agricultural Science
Health Benefits of Organic Food - Effects on the Environment,,CABI,2008-01-01,335,Explores how organic food benefits human health and its impact on the environment.,Health/Nutrition
Plant Cold Hardiness Vol-5 Lab to Field (1),"Lawrence V. Gusta, Karen K. Tanino, Michael E. Wisniewski",CABI,2009,335,Discusses the study and application of plant cold hardiness from laboratory research to field conditions.,Agricultural Science
Himalaya Past and Present 2202 (1),"Maheshwar P. Joshi, Allen C. Fanger, Charles Walter Brown",,1990,416,"Provides historical and contemporary perspectives on the Himalayas, focusing on various aspects of the region.",Historical/Geographical
Himalaya Past and Present 2152 (2),"Maheshwar P. Joshi, Allen C. Fanger, Charles Walter Brown",,1990,416,Continues the exploration of the Himalayas' history and current state.,Historical/Geographical
Ecology of Plants,"Ernst-Detlef Schulze, Erwin Beck, Klaus Müller-Hohenstein",Springer Science & Business Media,2005-02-18,716,"Covers the study of plant ecology, including interactions with their environment and other organisms.",Environmental Science
Climate Change & Food Security,"David B. Lobell, Marshall Burke",Springer Science & Business Media,2009-12-01,201,Examines the impact of climate change on food security and potential solutions.,Environmental Science
C.V Raman Biography,Uma Parameswaran,Penguin Books India,2011,301,"A biography of C.V. Raman, focusing on his contributions to science and his life.",Biography
Encyclopedia of Global Change Environmental Change & Human Society,"Andrew Goudie, David J. Cuff",,2002-01-01,669,An encyclopedia covering various aspects of global environmental change and its effects on human society.,Environmental Science
Plant Breeding,Robert W. Allard,John Wiley & Sons,1999-05-10,274,Discusses the methods and practices of breeding plants to improve traits such as yield and resistance.,Agricultural Science
Encyclopedia of Weed Science,"Thomas J. Monaco, Stephen C. Weller, Floyd M. Ashton",John Wiley & Sons,2002-05-23,688,"Provides comprehensive information on weed science, including identification, management, and impact.",Environmental Science
Ecological Management of Agricultural Weeds,"Matt Liebman, Charles L. Mohler, Charles P. Staver",Cambridge University Press,2001-07-19,546,Covers strategies and techniques for managing weeds in agricultural settings.,Agricultural Science
Weedy and Invasive Plant Genomics,"C. Neal Stewart, Jr.",John Wiley & Sons,2009-08-07,271,"Explores the genomics of weedy and invasive plants, including their biology and management.",Biotechnology
Plant Molecular Biology-45 (1),Roosa Laitinen,John Wiley & Sons,2015-06-22,256,"Discusses advanced topics in plant molecular biology, including genetic manipulation and analysis.",Biotechnology
Plant Molecular Biology-46 (2),,,1980,,"Continues coverage of plant molecular biology topics, with a focus on specific research areas.",Biotechnology
Plant Molecular Biology-47 (3),,,1983,,"Further explores plant molecular biology, including recent developments and applications.",Biotechnology
कार्यालय दीपिका,जब्बरमल शर्मा,,2005-01-01,232,A guide to office procedures and etiquette in Hindi.,Hindi Literature
कार्यालय प्रतीणता,,,,,Discusses the significance and challenges of office efficiency.,Hindi Literature
राजभाषा हिन्दी संघर्षों के बीच,Haribabu Kansal,,1991,,Explores the struggles of Hindi as a national language.,Hindi Literature
राजभाषा हिन्दी के 50 वर्ष,रमेश चन्द्र,,2006,216,Reviews the first 50 years of Hindi as an official language.,Hindi Literature
राजभाषा नीति कार्यान्वयन,,,1994,,Examines the implementation of language policies.,Hindi Literature
राजभाषा प्रबंधन,,,1996,,Focuses on the management aspects of Hindi language in administration.,Hindi Literature
हिन्दी वर्तनी दीपिका,जे. एच आनंद,,1982,804,A guide to Hindi spelling and orthographic norms.,Hindi Literature
हिन्दी प्रयोग के विविध आयाम ;3rd Volume,,,1998,,"Explores various dimensions of Hindi usage, in its third volume.",Hindi Literature
हिन्दी कार्यशाला संचालन,,,1986,328,Provides insights into conducting Hindi workshops.,Hindi Literature
शादी की वरसी,,,,,A narrative about a wedding anniversary celebration.,Hindi Literature
गुप्तदान,,,,,A story involving secret donations and their impact.,Hindi Literature
डिस्को टेलर,,,,,A novel set against the backdrop of disco culture.,Hindi Literature
कथा शिल्पी शरत,,,,,Focuses on the storytelling craft of the author Sharatchandra.,Hindi Literature
ज्योतिपुंज दयानन्द,,,,,"A biography of Dayanand Saraswati, highlighting his influence.",Hindi Literature
प्रेरणा दीप ;3 Volume,,,,,"A collection of inspirational writings, in its third volume.",Hindi Literature
सफलता की राह - हरिहर प्रसाद चतुर्वेदी,,,,,"A guide to achieving success, authored by Harihar Prasad Chaturvedi.",Hindi Literature
मटियारे पन्नों की आत्मकथा,,,,,"An autobiography written on worn-out pages, reflecting personal experiences.",Hindi Literature
निबन्ध क्रांति राजभाषा की ज्योर्तिज्वाला,,,,,Discusses the evolution of Hindi essays and their significance.,Hindi Literature
व्यावहारिक राजभाषा हिन्दी: हिन्दी प्रयोग विधि एवं व्याकरण,निशांतकेतु,,2006,179,"A guide on the practical use of Hindi, including usage methods and grammar.",Hindi Literature
कथा क्रांति: राजभाषा क्रांति,Dr. Kaustav Chakraborty,THE DIALOGUE TODAY,,153,Discusses the revolutionary changes in Hindi as a language of administration.,Hindi Literature
कहानियों का नया कारवा,Nidhi Kumari Meharia,INK FREEDOM PUBLISHERS,2023-10-06,107,Features a collection of new stories.,Hindi Literature
राजभाषा के संदर्भ में हिन्दी साहित्य का संक्षिप्त इतिहास,Bhavadeva Pāṇḍeya,,2008,128,Provides a brief history of Hindi literature in the context of language policy.,Hindi Literature
अट्ठारह सौ सत्तावन का बायोडाटा,,,2010,356,"A detailed account of the events of 1857, often referred to as the Indian Rebellion.",Hindi Literature
भारत के निर्णायक युद्ध,Ramākānta Pāṇḍeya Akele,,2016,143,Explores the decisive battles that shaped India’s history.,Hindi Literature
हिन्दी और हिन्दीकार,,,,,Discusses the contributions of Hindi writers and their impact.,Hindi Literature
राजभाषा सेनानी: हिन्दी लेखक हिन्दी लेखकों का संपूर्ण जीवन परिचय,,,,,Comprehensive biographies of prominent Hindi writers.,Hindi Literature
राजभाषा सेनानी: हिन्दी कवि हिन्दी कवियों का संपूर्ण जीवन परिचय,,,,,Comprehensive biographies of notable Hindi poets.,Hindi Literature
वैदिक मंत्रों में समाजीकरण की स्वंयसिद्धियां,,,,,Examines the self-evident truths in Vedic mantras related to socialization.,Hindi Literature
आधुनिक हिन्दी निबन्ध,Brahmasvarūpa Śarmā,,2001,182,A collection of modern Hindi essays.,Hindi Literature
विकृति सुधा,Dineśa Kālā Vahī,,2000,166,A discussion on diverse forms and aspects of transformation.,Hindi Literature
मानस मन्दाकिनी,"श्री रामकिंकर जी, Sri Ramkinkar Ji",Ramayanam Trust,2014-01-26,34,A narrative exploration of the Ramayana.,Hindi Literature
सन्त कवि दर्शन,कृष्णा रैणा,,1977,186,An exploration of the philosophical insights of saint poets.,Hindi Literature
एक और क्रौंच वध,चन्द्र प्रभा (Chandra Prabha),StoryMirror Infotech Pvt Ltd,2023-08-23,180,"A continuation of the narrative involving the killing of the mythical bird, Krauncha.",Hindi Literature
संचार माध्यमों के लिए- विज्ञानकथा,,,,,Science fiction for communication media.,Hindi Literature
प्रसारण माध्यमों के लिए विज्ञानगल्प टेलिविजन,,,,,Science fiction for television broadcasting.,Hindi Literature
प्रसारण माध्यमों के लिए विज्ञानगल्प आकाशवाणी,,,,,Science fiction for radio broadcasting.,Hindi Literature
चन्द्रकान्ता,Devakinandan Khatri,Radhakrishna Prakashan,2012-01-01,348,A classic novel with a romantic plot.,Hindi Literature
तुलसी लोक यज्ञ 1 पुरस्कृत,,,,,Award-winning work focusing on Tulsi's epic narratives.,Hindi Literature
तुलसी लोक यज्ञ 2 पुरस्कुत,,,,,Another award-winning work continuing the narrative on Tulsi's epics.,Hindi Literature
विलसति वन्दे मातरम समाज वैज्ञानिक एवं विचारों का तुलनात्मक अध्ययन,,,,,"A comparative study of ""Vande Mataram"" within social sciences and ideologies.",Hindi Literature
विश्वरुप,,,,,An exploration of universal perspectives and visions.,Hindi Literature
नान्दी विश्व संस्कृति लघुकथावली,,,,,A collection of international short stories.,Hindi Literature
विश्व लघुकथा संग्रह,जोगेन्द्र सिंह,,2006,296,A collection of global short stories.,Hindi Literature
आंख का पानी,Rabindranath Tagore,Diamond Pocket Books (P) Ltd.,2021-11-30,190,A reflective work on the emotional and philosophical depth of tears.,Hindi Literature
इतिहास लौटा विश्व क्षेत्रीय समाज का सम्पूर्ण इतिहास,Dr. A.K. Chaturvedi,SBPD Publications,2022-03-22,532,A comprehensive history of global regional societies.,Hindi Literature
कम्प्यूटर एक परिचय,"Apporv Ojas, Suyash Shrivastava",SBPD Publishing House,2022-01-14,228,An introductory guide to computers.,Hindi Literature
हमारे राष्ट्र निर्माता,Satyakam Vidyalankar,,195?,144,A tribute to the makers of the nation.,Hindi Literature
राष्ट्र के अमर सेनानी,,Vivekananda Kendra Hindi Prakashan Vibhag,2022-10-18,177,Celebrates the immortal freedom fighters of India.,Hindi Literature
भारत के महापुरुष,स्वामी विवेकानंद,VKHPV,2022-01-26,26,Chronicles the great figures of Indian history.,Hindi Literature
अज्ञात के दिन,P. D. Ouspensky,"Gurdjieff Foundation of India, Gurgaon, Haryana, India",2008-10,512,A novel exploring days of the unknown.,Hindi Literature
रानी तिष्यरक्षिता,,,,,A historical fiction about Queen Tishyarakshita.,Hindi Literature
अन्तरिक्ष की लहरें,,,,,Explores the waves of outer space and their mysteries.,Hindi Literature
अकबर बीरबल की लोकप्रिय कहानियां,Priyanka Verma,Diamond Books,2023-01-04,,Popular stories featuring the legendary duo Akbar and Birbal.,Hindi Literature
भारत की प्राचीन कहानियां,Dr. Kaustav Chakraborty,THE DIALOGUE TODAY,,153,A collection of ancient Indian stories.,Hindi Literature
हमारा स्वास्थ्य और घरेलू उपचार,,,,,A guide to health and home remedies.,Hindi Literature
भारत के महान वैज्ञानिक,Lālabahādura Siṃha Cauhāna,,2000,224,Profiles of India's great scientists.,Hindi Literature
त्रिगुण भारती,,,,,Focuses on the influential Trigun Bharti.,Hindi Literature
योगियों की साधना,Dr. Anju Lata,Friends Publications (India),2021-07-02,249,An exploration of the practices and meditations of yogis.,Hindi Literature
भारत के विज्ञान पुरुष,Swatantra Bahadur,Bookwisehub,,112,Highlights notable Indian scientists and their contributions.,Hindi Literature
भारत के जनप्रिय वैज्ञानिक,"डाँ. जे. पी. सिंह,",PHI Learning Pvt. Ltd.,2016-04-01,658,Discusses well-known Indian scientists and their achievements.,Hindi Literature
पाठकों के अकाल परः कलम का दरबार,,,,,Reflects on the impact of drought on readers and the literary world.,Hindi Literature
बछिया और बहूः जीवमात्र के पर्यावरण सम्बन्धों की अश्रुसिक्त कहानी,,,,,A poignant story about environmental relationships through the lens of a sheep and a bride.,Hindi Literature
हिरणी का विरोगः वन्य जीव संरक्षण विकासपथ पर अग्रसर आंसुओं की एक चिन्गारी,,,,,A narrative on wildlife conservation and development through the lens of a deer’s sorrow.,Hindi Literature
दाल रोटीः भूख ओर विपननता के विरुद्ध एक जेहाद,,,,,A story fighting hunger and poverty through the metaphor of dal and roti.,Hindi Literature
उद्बासः अमानवीयता के विरुद्ध शोषितसमुदाय की अनुभूति,,,,,An account of the experiences of oppressed communities against inhumanity.,Hindi Literature
खेत खलिहान की खातिरः बढ़ती आबादी खाली गांव पर एक मार्मिक ग्राम पंचायत,,,,,A touching portrayal of village life amidst rising population and empty villages.,Hindi Literature
ताने बाने की लाजः श्रम ओर तकनीक के लघु उद्योग पर पसीने का इतिहास,,,,,A history of sweat and effort in small-scale industries and techniques.,Hindi Literature
अच्छे बनो अच्छे मिलेंगे,Dale Carnegie,BEYOND BOOKS HUB,2024-07-09,14,A motivational message that goodness begets goodness.,Hindi Literature
परिस्थितियों से जीतो,Dr. Manju Maria Solomon,Horizon Books ( A Division of Ignited Minds Edutech P Ltd),2017-03-01,279,A motivational guide on overcoming challenging circumstances.,Hindi Literature
समय का आकलन,सुरेश स्वप्निल,Prerna Publication,,130,An analysis of the concept and measurement of time.,Hindi Literature
समय को पकड़ो,डॉ. विजयानन्द Dr. Vijayanand,Bhartiya Sahitya Inc.,2022-07-10,160,Offers strategies for managing and making the most of time.,Hindi Literature
कल के सूर्योदय की तैयारी,Bhakti Vikasa Swami,Bhakti Vikas Trust,2016-09-16,184,Prepares readers for the future with a focus on planning and vision.,Hindi Literature
उठो जागो चल पड़ो,Swami Vivekananda,"Ramakrishna Math, Nagpur",2018-05-04,123,"Encourages readers to rise, awaken, and take action.",Hindi Literature
भारत के महान संत,,,2019,63,Highlights the lives and teachings of great saints from India.,Hindi Literature
भारत के महान कर्णधार,कृष्णा कुदेसिया,,1972,360,Celebrates the key figures and leaders who have shaped India’s history.,Hindi Literature
भारत के महान जननायक,Dr. B.K. Shrivastava,SBPD Publishing House,2024-06-15,151,Honors the prominent leaders and visionaries of India.,Hindi Literature
भारत के गौरव,,,1985,,Reflects on the pride and achievements of India.,Hindi Literature
भारत के जनप्रिय सम्राट,Dr. A. K. Chaturvedi,SBPD Publications,2021-07-01,320,Chronicles the popular emperors of India and their legacies.,Hindi Literature
भारत के महान बलिदानी,,JEC PUBLICATION,,85,Pays tribute to India's great martyrs and their sacrifices.,Hindi Literature
स्वतंत्रता आन्दोलन के तेजस्वी नायक,,Arora IAS,,167,Focuses on the dynamic leaders of the Indian freedom movement.,Hindi Literature
हमारा आहार और शरीर के पोषक तत्व,,,,,Discusses the importance of diet and essential nutrients for the body.,Hindi Literature
फलों के गुण एवं उपयोग,Dr Kamini Jain,Shashwat Publication,2023-10-31,390,Explores the benefits and uses of various fruits.,Hindi Literature
कुछ आदर्श कहानियां,,,19??,150,A collection of ideal stories meant for inspiration.,Hindi Literature
जंगल की कहानियां,Ganga Prasad Sharma,Manoj Publications,2004,164,"Features stories set in the jungle, reflecting wildlife and adventure.",Hindi Literature
अकबर बीरबल के रोचक प्रसंग,,,2021*,128,Engaging anecdotes featuring Akbar and Birbal.,Hindi Literature
भारत के महान जननायक,सुचितेंद्र नाथ पाल,,1968,206,Highlights the role of great leaders in India's history.,Hindi Literature
अकबर बीरबल के व्यंग्य,Rachna Bhola Yamini,,2021-11-30,102,Satirical tales featuring Akbar and Birbal.,Hindi Literature
हाजिर जवाब बीरबल,,,,,Showcases witty and clever responses of Birbal.,Hindi Literature
विश्व के महान अविष्कारक और उनके अविष्कार,"लक्ष्मण प्रसाद, विनोद कुमार मिश्र",Kitabghar Prakashan,2012,376,Profiles of the world's greatest inventors and their inventions.,Hindi Literature
सामान्य ज्ञान विज्ञान कोश,"विपिन अग्रवाल, वर्षा पटेरिया",N/A,2013,200,A knowledge repository covering general science facts.,Hindi Literature
अंतरिक्ष में जीवन,Kali Shanker,Prabhat Prakashan,2009-01-01,248,Explores the concept of life in outer space.,Hindi Literature
लेसर की नई आशाकिरण,,,,,Discusses new hopes and advancements in laser technology.,Hindi Literature
अंतरिक्ष की परी कल्पना चावला,,,,,Imagines the possibilities of space exploration through the lens of Kalpana Chawla’s legacy.,Hindi Literature
वैज्ञानिको के सरस प्रसंग,,,,,Highlights the engaging and insightful stories of scientists.,Hindi Literature
सांइस के प्रेक्टिकल गेम,,,,,Practical games and experiments related to science.,Hindi Literature
अंधविश्वास और विज्ञान,,BLUE STAR PUBLICATION,2023-08-15,121,Examines the conflict between superstitions and scientific reasoning.,Hindi Literature
भारतीय प्रक्षेपास्त्र के जनक,डॉ. महेन्द्र कुमार मिश्रा ( Dr. Mahender Kumar Mishra ),Alina Books,2022-01-08,216,Focuses on the pioneers of Indian missile technology.,Hindi Literature
नूतन माध्यमिक भौतिकी,,,,,Discusses modern secondary school physics.,Hindi Literature
प्रक्षेपिकी,,,,,Explores the principles of projectile motion.,Hindi Literature
नाभिकीय ऊर्जा,Ram Kishore Prasad,,2010-09-25,120,Covers the concepts and applications of nuclear energy.,Hindi Literature
धर्मग्रन्थों ने कहा पर्यावरण के बारे में,,,,,Discusses what religious texts say about the environment.,Hindi Literature
वृह्त पारिभाषिक शब्द संग्रह टवस.प्,,,1987,,A comprehensive glossary of scientific terms.,Hindi Literature
फूलो की व्यावसायिक खेती,,,,,Examines the commercial cultivation of flowers.,Hindi Literature
आधुनिक जीवन और पर्यावरण,Damodar Sharma,Prabhat Prakashan,2009-01-01,372,Discusses the relationship between modern life and environmental issues.,Hindi Literature
पर्यावरण संरक्षण,Kalwar S. C.,,2001,184,Focuses on strategies and practices for environmental conservation.,Hindi Literature
राष्ट्रीय संस्कृति सम्पदा,Dr. Jagmohan Negi,,2002-01-01,399,Explores the importance of preserving national cultural heritage.,Hindi Literature
पर्यावरण और ऊर्जा,Dr. H. S. Garg,SBPD Publications,2022-05-17,871,Covers the intersection of environmental issues and energy concerns.,Hindi Literature
पर्यावरण प्रदूषण के दुष्प्रभाव,Prabhā Kumārī,Vani Prakashan,2008,100,Discusses the harmful effects of environmental pollution.,Hindi Literature
पर्यावरण संकट एवं प्रदूषण का कहर,Dr. H.S. Garg,SBPD Publications,2022-12-20,199,Examines the crisis of environmental pollution and its impacts.,Hindi Literature
प्रदूषण पृथ्वी का ग्रहण,प्रेमानंद चन्दोला,,1991,138,Highlights the role of pollution-resistant plants.,Hindi
प्रदूषणरोधी वृक्ष,,,,,An advanced exploration of biotechnology concepts.,Hindi Literature
बायोटेक्नोलोजी (2),,,,,Discusses the role of nuclear power in India's spiritual and political context.,Hindi Literature
परमाणु भक्ति भारत,,Northern Book Centre,1992,292,Explores the defense and political implications of nuclear bombs.,Hindi Literature
परमाणु बम रक्षा व राजनीति,Rañjīta Kumāra,Kitabaghara,1998-01-01,144,"Provides insights into diseases, their symptoms, and prevention methods.",Hindi Literature
बीमारियाँ क्यों? लक्षण एवं बचाव,जी. सी पाटनी,,2016,176,Discusses the medicinal benefits of various spices.,Hindi Literature
मसालों का औषधीय महत्व,Chitra Garg,,2018,112,Spices & Health,Hindi Literature
अच्छा भोजन अच्छा स्वास्थ्य,,,,,Emphasizes the link between good nutrition and health.,Hindi Literature
पतंजलि योग,Swami Vivekananda,Prabhat Prakashan,2022-12-03,125,A guide to Patanjali Yoga practices and their benefits.,Hindi Literature
योगासन और प्राणायाम,Swami Akshey Atmanand,Prabhat Prakashan,2001,168,Covers yoga postures and breathing techniques (pranayama).,Hindi Literature
योगासन और शरीर विज्ञान,Swami A Atmanand,,2001,178,Explores the relationship between yoga postures and human anatomy.,Hindi Literature
घरेलू आयुर्बेदिक नुस्खे,Suresh Porwal,,2009,131,Provides home remedies based on Ayurvedic principles.,Hindi Literature
स्वास्थ्य विज्ञान एवं प्राथमिक चिकित्सा,डी. एन. श्रीवास्तव,SBPD Publishing House,2021-01-10,172,Discusses health science and first aid practices.,Hindi Literature
सामान्य विज्ञान कोश (2),"विपिन अग्रवाल, वर्षा पटेरिया",,2013,200,A comprehensive glossary of general science terms (Volume 2).,Hindi Literature
कैंसर पर विजय कैसे प्राप्त करे,बृंदा सीताराम,Prabhat Prakashan,2011,219,Offers strategies for overcoming cancer.,Hindi Literature
स्वास्थ्य विज्ञान विष और उपचार,Dr. Shyamlal Suthar,Rudra Publications,,272,Examines health science related to poisons and treatments.,Hindi Literature
होमियोपैथी चिकित्सा विशिष्ट औषधियाँ,बिनोद कुमार प्रसाद,Indra Publishing House,2018-11-15,258,Focuses on specific homeopathic medicines and their uses.,Hindi Literature
महारोग एड़स,Prem Chandra Swarankar,Prabhat Prakashan,2011,215,Discusses AIDS and its impact on society.,Hindi Literature
दैनिक जीवन में आयुर्वेद,Vinod Verma,Vinod Verma (Dr),2001,382,"Provides insights into heart diseases, their causes, and prevention.",Hindi Literature
एड्स और समाज,"डॉ. अनीता जोशी, डॉ. सोनाली काण्डपाल",Ashok Yakkaldevi,2020-07-01,181,Covers lesser-known vegetables and their uses.,Hindi Literature
ह्दय रोग . कारण और बचाव,,,,,A detailed account of the 1857 rebellion.,Hindi Literature
अल्पउपयोगीसब्जियाँ,,,,,Chronicles the history of the Indian freedom struggle.,Hindi Literature
1857 का बायोडाटा,Dr. A. K. Chaturvedi,SBPD Publications,2020-07-02,407,Examines the freedom movement through the lens of both joy and sorrow.,Hindi Literature
स्वतंत्रता संग्राम का इतिहास,मदन लाल शर्मा,,2005,232,Highlights significant moments and stories from the independence struggle.,Hindi Literature
आजादी का आन्दोलन हँसते हुए आँसू,"Shyam Krishna Pandey, Dr. Rachna Singh",Sahityapedia Publishing,2020-01-28,187,Discusses the Constitution of India and its significance.,Hindi Literature
स्वाधीनता संग्राम के सुनहरे प्रसंग,Roop Narain,Prabhat Prakashan,2003-01-01,252,Proceedings of the 6th Uttarakhand State Science & Technology Congress (2011).,Hindi Literature
भारत का संविधान,"शर्मा, ब्रजकिशोर (Sharma, Brij Kishore)",PHI Learning Pvt. Ltd.,2021-01-01,536,Proceedings of the 3rd Uttarakhand State Science & Technology Congress (Nov 10-11).,Hindi Literature
6th Uttarakhand State Science & Technology Congress 2011,,,2011,269,Provides additional home remedies based on Ayurvedic principles.,Conference Proceedings
3rd Uttarakhand State Science & Technology Congress - 10-11 Nov,,,2011,269,Proceedings of the 4th Uttarakhand State Science & Technology Congress.,Conference Proceedings
घरेलू आयुर्वेदिक नुस्खे,Suresh Porwal,,2009,131,"Proceedings of the 7th Uttarakhand State Science & Technology Congress (Nov 21-23, 2012).",Hindi Literature
4th Uttarakhand State Science & Technology Congress,Rajendra Dobhal,,2012,405,Souvenir and abstracts from the International Conference on Current Trends in Biotechnology & Implications in Agriculture (2009).,Conference Proceedings
7th Uttarakhand State Science & Technology Congress - 21-23 Nov 2012,Rajendra Dobhal,,2012,405,"Proceedings of the 7th Uttarakhand State Science & Technology Congress held from November 21-23, 2012.",Conference Proceedings
Sovenir & Abstracts International Conference on Current Trends in Biotechnology & Implication in Agriculture-2009,,,,,Souvenir and abstracts from the International Conference on Current Trends in Biotechnology and their implications in agriculture (2009).,Conference Proceedings
42nd Convocation - Significant Post Graduate Students Research - Feb 2004 Abstract,,,,,Abstracts from the 42nd Convocation highlighting significant research by postgraduate students in February 2004.,Conference Proceedings
International Conference on Managing Natural Resources for Sustainable Agricultural Productions in the 21st Century Vol-I Invited Papers,Food and Agriculture Organization of the United Nations,Food & Agriculture Org.,2018-11-29,56,"Invited papers from the International Conference on Managing Natural Resources for Sustainable Agricultural Production, Volume I.",Conference Proceedings
International Conference on Managing Natural Resources for Sustainable Agricultural Productions in the 21st Century Vol-IV Voluntary,,,1990,,"Voluntary contributions from the International Conference on Managing Natural Resources for Sustainable Agricultural Production, Volume IV.",Conference Proceedings
DRD Technology Spectrum - 2012,,,,,A report on the DRD Technology Spectrum for the year 2012.,Conference Proceedings
Workshop on Worldwide Women's Leadership and Critical Success Factors for R&D,Nicole Gallipoli Martell,,2004,,Workshop proceedings on global women's leadership and critical success factors for research and development.,Conference Proceedings
Training Programme on Biosafety Concerns of Transgenic and Detection on Jan 2006,,,,,"Training program details on biosafety concerns and detection of transgenic organisms, January 2006.",Conference Proceedings
International Conference on Managing Natural Resources for Sustainable Agricultural Production the 21 Country List of Delegates,Food and Agriculture Organization of the United Nations. Delegation from the United States,,1950,16,List of delegates from the International Conference on Managing Natural Resources for Sustainable Agricultural Production in 21 countries.,Conference Proceedings
Exploration and Collection of Vegetable Germplasm,,,1998,16,Discusses the exploration and collection of vegetable germplasm for research and development.,Agricultural Science
Management Handbook,Jerry D. Smith,Tompkins Press,1998,1014,A handbook on management practices and strategies.,Management
Global Environmental Crisis and Management,Gopesh Nath Khanna,N/A,1993-01-01,603,Analysis of the global environmental crisis and strategies for management.,Environmental Science
India's Nuclear Bomb,George Perkovich,Univ of California Press,1999,436,Examines India's nuclear bomb and its implications.,History/Politics
विश्व के महान अविष्कारक ओर उनके अविष्कार,"लक्ष्मण प्रसाद, विनोद कुमार मिश्र",Kitabghar Prakashan,2012,376,Profiles of the world's greatest inventors and their inventions.,Hindi Literature
सामान्य ज्ञान विज्ञान कोश (2),YCT Expert Team,YOUTH COMPETITION TIMES,N/A,610,A comprehensive glossary of general science terms (Volume 2).,Hindi Literature
अंतरिक्ष में जीवन,Kali Shanker,Prabhat Prakashan,2009-01-01,248,Explores the concept of life in outer space.,Science
River Pollution in India,A.k.jain,APH Publishing,2009,340,Discusses the issue of river pollution in India.,Environmental Science
Journey into Light,Émile Cailliet,,1968,117,A philosophical and spiritual exploration of light.,Spiritual/Philosophy
लेसर की नई आशाकिरण,Rajeev Garg,Satsahitya Prakashan,2004,158,Discusses new advancements and hopes in laser technology.,Science
अंतरिक्ष की परी कल्पना चावला,SHRAVAN KUMAR,,2018,,Imagines the possibilities of space exploration inspired by Kalpana Chawla.,Science/Autobiography
वैज्ञानिको के सरस प्रसंग (2),Prasad Shuk Deo,Jagat Ram & Sons,2007,500,"Engaging and insightful stories of scientists, Volume 2.",Hindi Literature
